NR_CANDIDATO;NR_PARTIDO;SG_UF_NASCIMENTO;NR_IDADE_DATA_POSSE;CD_GENERO;CD_GRAU_INSTRUCAO;CD_ESTADO_CIVIL;VR_DESPESA_MAX_CAMPANHA;ST_REELEICAO;Resultado
7727;77;0;74;4;4;1;2500000;0;3
1234;12;1;53;4;8;3;2500000;0;3
5455;54;0;54;2;3;3;2500000;0;4
5522;55;0;30;4;8;1;2500000;0;3
3636;36;0;55;4;6;3;2500000;0;3
1977;19;0;36;2;8;3;2500000;0;3
1414;14;0;60;2;7;3;2500000;1;3
3333;33;0;73;2;8;3;2500000;0;4
5112;51;1;47;2;6;3;2500000;0;4
1616;16;0;52;2;4;1;2500000;0;4
6565;65;0;26;2;8;1;2500000;0;3
5413;54;0;53;2;5;1;2500000;0;4
5123;51;0;46;2;6;1;2500000;0;4
2222;22;1;69;2;8;3;3176572.53;1;1
1910;19;1;43;4;7;9;3176572.53;0;4
3322;33;0;33;2;8;1;3176572.53;0;4
1999;19;0;26;4;8;1;3176572.53;0;4
1122;11;0;51;2;7;1;3176572.53;0;4
4444;44;0;56;2;8;3;3176572.53;1;1
1010;10;0;27;2;7;1;3176572.53;0;4
2793;27;1;50;2;6;3;3176572.53;0;4
7700;77;0;52;2;8;3;3176572.53;0;4
4015;40;1;74;2;8;3;3176572.53;0;4
4433;44;1;40;4;8;3;3176572.53;0;3
2866;28;0;35;2;6;1;3176572.53;0;4
3333;33;0;48;2;8;3;3176572.53;0;4
1911;19;0;55;2;6;9;3176572.53;0;4
7000;70;0;41;2;8;3;3176572.53;0;4
1000;10;0;43;2;6;3;3176572.53;0;4
1177;11;0;55;2;8;9;3176572.53;0;4
2255;22;0;63;2;8;9;3176572.53;0;2
1511;15;0;75;2;8;3;3176572.53;0;4
4022;40;0;34;4;8;1;3176572.53;0;4
2877;28;0;31;2;6;3;3176572.53;0;4
4000;40;1;32;4;8;3;3176572.53;0;4
1133;11;0;68;2;6;3;3176572.53;0;4
5077;50;1;42;2;7;1;3176572.53;0;4
1455;14;0;63;4;5;3;3176572.53;0;4
1400;14;0;62;2;6;3;3176572.53;0;4
2211;22;0;41;4;8;3;3176572.53;0;3
5533;55;0;38;2;8;3;3176572.53;0;4
1100;11;0;52;2;8;3;3176572.53;0;4
5111;51;1;40;4;8;3;3176572.53;0;4
1888;18;0;30;4;8;1;3176572.53;0;4
4425;44;1;46;2;8;3;3176572.53;0;3
1500;15;0;34;4;8;1;3176572.53;0;4
4477;44;0;34;4;8;3;3176572.53;0;3
3344;33;0;52;4;8;9;3176572.53;0;4
6565;65;0;49;4;8;3;3176572.53;0;3
1411;14;0;49;4;6;3;3176572.53;0;4
1516;15;0;67;4;8;1;3176572.53;0;4
1907;19;1;34;2;8;3;3176572.53;0;4
5555;55;0;31;2;8;3;3176572.53;0;4
2710;27;0;49;2;6;1;3176572.53;0;4
3327;33;1;35;2;7;3;3176572.53;0;4
2844;28;0;67;2;3;3;3176572.53;0;4
5122;51;0;45;4;6;1;3176572.53;0;4
2833;28;0;37;4;8;1;3176572.53;0;4
1333;13;1;66;2;8;1;3176572.53;0;2
1070;10;0;43;2;8;1;3176572.53;0;4
2030;20;0;53;4;8;3;3176572.53;0;4
7755;77;1;55;4;8;3;3176572.53;0;4
7007;70;0;27;2;6;3;3176572.53;0;4
2772;27;1;31;4;7;9;3176572.53;0;4
7070;70;0;33;2;8;3;3176572.53;0;4
7050;70;0;41;2;6;1;3176572.53;0;4
1129;11;0;42;4;7;3;3176572.53;0;4
2323;23;0;41;2;6;3;3176572.53;0;4
5577;55;0;36;2;6;3;3176572.53;0;4
5190;51;1;46;2;8;1;3176572.53;0;4
1088;10;1;72;2;8;3;3176572.53;0;4
5011;50;0;53;4;6;1;3176572.53;0;4
2899;28;0;49;2;8;3;3176572.53;0;4
2007;20;0;44;2;8;3;3176572.53;0;4
4013;40;1;57;4;8;1;3176572.53;0;4
1567;15;0;61;4;8;3;3176572.53;0;4
1213;12;0;52;2;6;1;3176572.53;0;4
2822;28;0;31;4;6;3;3176572.53;0;4
2724;27;1;52;2;6;1;3176572.53;0;4
4570;45;0;54;2;8;3;3176572.53;0;4
2200;22;0;30;2;8;3;3176572.53;0;3
2730;27;0;44;4;6;3;3176572.53;0;4
7778;77;0;38;2;8;3;3176572.53;0;4
2727;27;1;73;4;8;9;3176572.53;0;4
4343;43;0;44;2;6;3;3176572.53;0;3
5566;55;0;40;4;6;3;3176572.53;0;4
4455;44;0;34;4;8;3;3176572.53;0;3
2002;20;1;53;2;8;3;3176572.53;0;4
2011;20;0;57;2;8;3;3176572.53;0;4
1922;19;0;52;2;7;3;3176572.53;0;4
3335;33;0;49;4;3;3;3176572.53;0;4
7777;77;0;50;2;8;3;3176572.53;0;4
4088;40;0;35;2;8;1;3176572.53;0;4
1222;12;0;47;2;8;1;3176572.53;0;4
2828;28;0;71;2;8;3;3176572.53;0;4
1200;12;0;46;2;6;1;3176572.53;0;4
5544;55;0;51;4;6;1;3176572.53;0;4
3500;35;1;41;4;8;3;3176572.53;0;4
5540;55;0;54;4;6;9;3176572.53;0;4
1199;11;0;45;2;8;1;3176572.53;0;4
7020;70;0;53;4;8;1;3176572.53;0;4
4500;45;1;37;2;8;3;3176572.53;0;4
3384;33;1;31;2;6;1;3176572.53;0;4
1011;10;0;54;4;8;5;3176572.53;0;4
1488;14;0;32;2;8;3;3176572.53;0;4
1033;10;1;34;2;8;3;3176572.53;0;4
1833;18;0;44;2;8;3;3176572.53;0;4
2722;27;0;46;2;6;1;3176572.53;0;4
5109;51;0;74;2;8;1;3176572.53;0;4
1212;12;0;49;4;8;3;3176572.53;0;4
1522;15;0;44;2;7;1;3176572.53;0;4
1414;14;1;58;2;8;3;3176572.53;0;4
4411;44;1;46;4;8;3;3176572.53;1;3
2233;22;0;49;4;8;3;3176572.53;0;3
1313;13;0;42;4;8;1;3176572.53;0;3
5151;51;0;42;2;8;9;3176572.53;0;4
4050;40;0;28;2;8;1;3176572.53;0;4
2277;22;0;50;2;8;9;3176572.53;0;3
1484;14;0;34;4;8;1;3176572.53;0;4
7722;77;0;27;4;8;1;3176572.53;0;4
5123;51;0;51;2;8;1;3176572.53;0;4
1311;13;0;34;4;8;9;3176572.53;1;1
4400;44;0;71;4;8;3;3176572.53;0;3
5050;50;0;26;4;8;1;3176572.53;0;4
5100;51;0;50;4;6;3;3176572.53;0;4
1919;19;0;28;2;8;1;3176572.53;0;4
5000;50;0;43;2;3;3;3176572.53;0;4
5564;55;0;55;2;8;9;3176572.53;0;4
4040;40;0;31;4;6;1;3176572.53;0;4
4077;40;0;38;2;7;1;3176572.53;0;4
7799;77;0;53;2;8;3;3176572.53;0;4
1616;16;0;56;4;8;1;3176572.53;0;4
7022;70;1;47;2;8;1;3176572.53;0;4
1288;12;0;28;4;8;1;3176572.53;0;4
4544;45;0;42;2;6;3;3176572.53;0;4
2238;22;1;38;2;8;3;3176572.53;0;2
2855;28;0;29;2;5;1;3176572.53;0;4
1214;12;1;33;4;6;1;3176572.53;0;4
4010;40;0;45;2;6;1;3176572.53;0;4
5588;55;0;38;2;6;1;3176572.53;0;4
1404;14;0;49;2;7;3;3176572.53;0;4
2010;20;0;54;4;8;9;3176572.53;0;4
7090;70;0;39;4;8;1;3176572.53;0;4
1505;15;0;51;2;8;3;3176572.53;0;4
4567;45;0;52;2;6;9;3176572.53;0;4
4422;44;1;62;2;8;3;3176572.53;0;3
2711;27;0;71;2;6;3;3176572.53;0;4
3399;33;0;74;4;8;1;3176572.53;0;4
7099;70;0;42;4;6;1;3176572.53;0;4
5522;55;1;71;2;6;3;3176572.53;0;4
1144;11;0;45;4;8;1;3176572.53;0;4
7011;70;1;57;2;8;9;3176572.53;0;4
2311;23;0;54;4;8;3;3176572.53;0;4
4545;45;0;41;4;8;3;3176572.53;0;4
1933;19;1;57;4;8;9;3176572.53;0;4
4488;44;0;58;2;7;9;3176572.53;0;2
2020;20;1;39;4;7;9;3176572.53;0;4
3323;33;0;35;2;3;1;3176572.53;0;4
1555;15;1;68;2;8;3;3176572.53;0;4
6513;65;0;60;2;8;1;3176572.53;0;3
1170;11;0;50;4;8;3;3176572.53;0;4
4555;45;1;46;4;8;3;3176572.53;0;4
2000;20;0;34;2;7;3;3176572.53;0;4
2022;20;1;31;2;6;9;3176572.53;0;4
7770;77;0;57;2;6;1;3176572.53;0;4
2210;22;1;67;2;8;3;3176572.53;1;2
1300;13;0;58;2;8;3;3176572.53;0;3
1099;10;0;59;4;8;3;3176572.53;0;4
2212;22;0;58;4;8;3;3176572.53;0;3
1977;19;0;40;2;7;1;3176572.53;0;4
6510;65;0;28;4;8;1;3176572.53;0;3
1818;18;0;51;2;6;9;3176572.53;0;4
7788;77;0;59;2;8;3;3176572.53;0;4
1444;14;0;45;2;7;3;3176572.53;0;4
1001;10;0;57;4;8;9;3176572.53;0;4
1900;19;0;48;2;6;9;3176572.53;0;4
1201;12;0;26;2;6;1;3176572.53;0;4
1515;15;0;46;4;8;3;3176572.53;0;4
1077;10;0;64;2;7;3;3176572.53;0;4
2700;27;1;54;2;6;9;3176572.53;0;4
1111;11;0;41;2;8;3;3176572.53;1;4
4313;43;0;55;4;8;1;3176572.53;0;3
1234;12;1;44;2;8;1;3176572.53;0;4
4566;45;0;49;4;8;1;3176572.53;0;4
3307;33;1;39;2;6;3;3176572.53;0;4
3511;35;0;53;2;5;1;3176572.53;0;4
1227;12;1;66;2;8;3;3176572.53;0;4
7701;77;1;54;4;8;3;3176572.53;0;4
3555;35;0;60;2;8;3;3176572.53;0;4
