NR_CANDIDATO;NR_PARTIDO;SG_UF_NASCIMENTO;NR_IDADE_DATA_POSSE;CD_GENERO;CD_GRAU_INSTRUCAO;CD_ESTADO_CIVIL;VR_DESPESA_MAX_CAMPANHA;ST_REELEICAO;RESULTADO
13222;13;0;29;2;8;1;800000;0;3
31240;31;0;40;4;2;1;500000;0;3
65888;65;0;40;2;6;3;400000;0;3
31777;31;1;57;2;6;3;500000;0;3
50050;50;0;44;2;8;1;100000;0;4
22123;22;1;53;2;6;3;1000000;0;3
16543;16;0;49;2;6;3;10000;0;4
51121;51;0;59;2;7;3;2500000;0;3
90000;90;0;72;2;3;3;2000000;1;1
65155;65;1;59;2;8;3;400000;0;3
51111;51;1;51;2;8;3;2500000;0;3
13333;13;0;51;2;4;3;800000;0;3
33111;33;0;34;2;8;3;1500000;0;3
36222;36;0;44;2;5;3;1000000;0;3
50100;50;0;48;4;5;3;100000;0;4
27500;27;0;51;2;7;9;1500000;0;3
43333;43;0;44;2;8;1;1000000;0;3
44333;44;0;60;2;6;3;1500000;0;3
25111;25;0;65;2;8;3;3000000;1;3
90999;90;0;75;2;8;1;2000000;1;3
14123;14;1;54;2;8;3;1000000;0;3
44999;44;0;56;2;8;1;1500000;0;3
10333;10;0;53;2;6;1;1500000;0;3
50123;50;0;48;2;7;3;100000;0;4
43233;43;1;34;2;8;1;1000000;0;3
19123;19;0;41;4;2;1;500000;0;3
43234;43;0;62;2;5;3;1000000;0;3
33233;33;1;46;2;6;1;1500000;0;3
15123;15;0;37;2;8;1;2000000;1;1
11234;11;0;38;2;8;1;1500000;0;3
36777;36;0;44;2;6;1;1000000;0;3
36666;36;0;49;2;6;3;1000000;0;3
36000;36;0;40;2;7;9;1000000;0;3
15555;15;0;55;2;8;3;2000000;0;2
31555;31;0;41;2;8;1;500000;0;3
15111;15;0;30;2;8;3;2000000;0;3
13000;13;0;42;2;8;3;800000;0;3
43456;43;1;54;2;8;3;1000000;0;3
33123;33;1;39;2;6;3;1500000;0;3
65777;65;1;53;2;8;3;400000;0;3
51151;51;0;59;2;6;9;2500000;0;3
55190;55;1;41;2;6;3;1500000;0;3
43310;43;0;49;2;6;3;1000000;0;3
13600;13;0;29;4;7;1;800000;0;3
10010;10;1;45;2;6;3;1500000;0;3
36112;36;0;42;4;6;1;1000000;0;3
11236;11;0;32;4;8;1;1500000;0;3
27111;27;1;33;2;6;1;1500000;0;3
36166;36;1;56;2;6;3;1000000;0;3
43123;43;0;55;2;8;3;1000000;0;3
65126;65;0;45;2;8;3;400000;0;3
50777;50;0;31;4;6;3;100000;0;4
55000;55;1;51;2;4;3;1500000;0;3
51118;51;1;31;4;8;1;2500000;0;3
40000;40;0;40;4;8;3;2000000;1;3
33555;33;0;57;4;3;9;1500000;0;3
50888;50;0;61;2;6;3;100000;0;4
33000;33;0;30;2;8;3;1500000;0;3
55222;55;0;32;2;8;1;1500000;0;3
43433;43;0;54;4;7;3;1000000;0;3
20333;20;0;64;2;6;3;2000000;0;3
15551;15;0;52;4;6;1;2000000;0;3
43151;43;1;52;4;6;3;1000000;0;3
55666;55;0;34;4;8;3;1500000;0;3
14190;14;0;42;2;8;9;1000000;0;3
43252;43;0;31;2;5;1;1000000;0;3
33456;33;0;34;2;7;3;1500000;0;3
13311;13;0;45;2;6;3;800000;0;3
13113;13;0;60;4;8;1;800000;0;3
27107;27;0;35;4;6;3;1500000;0;3
13013;13;0;49;2;8;1;800000;0;3
50456;50;0;51;2;8;3;100000;0;4
90333;90;0;57;2;8;3;2000000;1;1
33033;33;0;46;4;6;3;1500000;0;3
55777;55;0;52;4;8;3;1500000;0;3
36334;36;0;25;4;8;1;1000000;0;3
51987;51;1;42;4;7;3;2500000;0;3
55111;55;0;47;2;8;3;1500000;0;1
11231;11;0;44;2;6;3;1500000;0;3
13444;13;0;57;4;6;1;800000;0;3
65477;65;0;53;2;8;3;400000;0;3
25221;25;0;70;2;8;3;3000000;0;2
20123;20;0;50;2;6;3;2000000;0;3
15000;15;0;54;4;8;9;2000000;0;3
13111;13;0;36;2;8;1;800000;0;3
65656;65;0;50;2;8;3;400000;0;3
17123;17;0;47;2;8;9;300000;0;4
12777;12;1;64;2;6;3;2000000;0;3
25123;25;0;65;2;4;3;3000000;0;3
33444;33;1;48;4;7;1;1500000;0;3
65111;65;0;49;4;8;3;400000;0;3
90111;90;0;42;2;8;3;2000000;0;1
33122;33;0;26;4;6;1;1500000;0;3
65166;65;0;48;4;8;1;400000;0;3
13456;13;0;42;2;8;3;800000;0;3
13131;13;0;28;2;7;1;800000;0;3
65193;65;0;39;2;7;1;400000;0;3
15101;15;0;47;4;5;3;2000000;0;3
31009;31;0;49;4;4;3;500000;0;3
22999;22;0;35;4;6;1;1000000;0;3
70123;70;0;33;2;8;1;500000;0;2
12000;12;1;46;2;8;1;2000000;0;3
13021;13;1;60;2;8;9;800000;0;3
50135;50;0;55;2;3;3;100000;0;4
43133;43;0;36;4;8;9;1000000;0;3
27207;27;0;40;4;3;3;1500000;0;3
50005;50;0;39;2;7;1;100000;0;4
90653;90;0;34;4;6;1;2000000;0;3
31815;31;1;64;4;6;3;500000;0;3
40333;40;1;61;2;8;3;2000000;0;3
45456;45;0;48;2;4;3;2000000;0;3
15666;15;0;57;2;8;3;2000000;0;3
44123;44;0;40;4;8;3;1500000;0;3
45666;45;0;56;4;8;3;2000000;0;3
65555;65;0;42;4;8;3;400000;0;1
43015;43;0;51;2;6;3;1000000;0;3
40111;40;0;49;4;8;9;2000000;1;1
50505;50;1;26;4;7;1;100000;0;4
